ITC,TATACOMM,TATAGLOBAL,TATAMTRDVR,TATACOFFEE,TATAMOTORS
320,380.85,120.2,223.8,89,322.9
317.1,371.7,120.45,223.4,88.95,322.85
313.45,380.75,120.95,235.05,89.2,330.9
312.9,396.7,123.65,239.45,92.6,344.9
314.4,396.65,123.75,245.45,90.9,354.1
313.35,398.1,123.25,242.35,90.85,344.6
313.75,402.75,124.05,248.65,90.7,346.8
313.65,390.05,125.4,239.55,90.25,334.1
317.4,393.2,123.1,240.5,90.6,338.05
322.15,396.05,125.45,236.65,90.9,330.25
318,405.05,125.5,237.1,92,331.7
314.25,405.55,123.9,226.85,93.15,315.8
312.15,400.1,125,222.95,91.05,310.3
316.1,401.4,124.2,220.7,91.15,303.4
322.55,400.55,127.1,206.85,90.75,285
319.25,400.5,126.6,212.7,91.15,288.75
320.4,413.6,127.8,216.45,92.05,298.6
328.8,402.05,130.05,218.6,92.25,297.75
328.75,413.35,131.85,233.8,92.1,315.15
329.5,410.4,130.55,242.15,92.15,333.7
342.85,418,133.05,241.9,93.1,341.35
347.25,422.2,133.35,242.25,92.35,343.25
339.1,424.55,134.7,244.75,92.9,356.45
343.45,415.1,134.55,245.9,92,362.35
340.75,422,132.3,245.75,94.5,361.1
344.05,415.85,134,241.6,95.05,352.3
344.1,422.25,134.7,259.55,93.3,381.3
349.4,421.1,134,260.7,92.7,386.2
348.8,428.9,134.7,264.55,93,378.7
351,430.5,139.4,270.05,92.95,383.15
348.65,429.1,137.55,269.25,92.6,381.45
348.55,419.45,137.8,272.8,90.5,383
358.35,427.15,138.9,272.65,89.15,384.6
356.5,427.4,135.8,269.95,88.95,383.35
356,425.9,135.6,268.75,88.6,386.3
355.2,432.35,135.9,268.8,88.9,391.2
350,429,133.45,260.1,88.25,384.95
334.65,432.8,132.65,262.9,88.35,387.95
337.2,433.75,131.75,259.65,88.5,382.05
334.85,435.5,131.75,268.95,87.95,404.85
335.7,433.3,128,265.9,87.2,404
337.15,433.05,125.85,261.9,87.4,396.15
337.7,429.55,128.8,270.9,86.7,411.75
343.05,421.4,125.7,271.55,88.1,407.45
336.75,423.45,127.9,277.5,91.55,411.3
334.25,416.95,128,290.1,92.05,403.95
329.8,421,128.15,287.8,90.05,400.25
338.3,415.65,132.5,287.25,91.65,407.5
349.1,413.6,128.75,290.25,91.8,406.25
347.85,422,130.9,294.4,92.2,406.95
352.05,435.95,133.8,295.95,92.05,402.85
344.45,434.7,132.95,296.85,91,402.1
337.25,431.85,134.35,293.85,89.7,400.95
335.9,442.9,134.95,299.75,90.05,424.4
342.8,430.75,136.95,299.05,89.6,417.65
344.35,431.6,137.55,298.8,89.85,423.25
342.55,425.7,136.25,290.6,90.45,417.35
346.25,423.1,136.2,286.95,89.85,413.15
349.4,420.05,134.9,280,89.1,405.6
343.35,413.7,133.65,284.95,88.6,399.95
335.95,411.45,135.35,280.25,88.55,399.15
313.55,414.6,135,283.9,88.85,402.4
314.75,406.25,132.15,281.1,86.95,393.95
317.4,404.9,135.3,284.65,87.6,389.6
321.25,400.5,133.2,276.3,88.45,377.95
321,403.6,134.35,270.65,87.5,371.6
320.1,406.55,133.85,281.25,88.1,379.5
322.95,409.2,136.55,279.9,88.4,380.45
319.25,418.85,142.2,282.75,89.45,382.95
320.5,417.5,141.9,278.35,88.75,378.25
317.1,421.4,142.9,280.65,88.6,380.15
326.55,421.05,141.2,279.1,88.35,378.1
320.25,427.3,142,281.75,89.4,378.45
321.5,435.6,144.8,282.05,90.65,382.4
323.7,434.65,144.05,289.05,93.65,394
326.2,434.1,141.9,288.75,96.5,391.85
324.85,435.6,146.35,289.9,97.3,393.45
326.55,435.85,146.2,289.35,97.65,391.3
327.8,434.3,146.4,296.6,98.1,401.9
327.5,429.2,143.7,278.1,95.6,377.05
325.1,437,148.35,278.95,103.3,374.45
324.85,440.8,145.25,273.45,101.45,365.9
315.1,426.75,140.05,257,97.65,343.55
309.6,436.1,144.45,264.7,109.1,353.35
313.65,433.05,141.9,271.8,108.6,360.2
316.05,432.7,139.5,270.25,105.15,355
315.15,434.95,135.6,273.7,99.3,364.6
315.75,432.6,134.05,267.75,98.6,354.3
317.25,414.3,128.5,257.9,95.1,341.3
313.9,400.3,121.85,257,90.45,340.2
315.4,405.25,126.4,263.95,92.15,354.15
314.05,391.3,122.55,258.6,90.4,342.25
308.95,397.05,121.75,248.25,91.3,328.55
306.4,402.95,125.55,257.45,92.7,339.5
308.75,404.8,124.3,257.6,96.5,332.6
309.4,398.85,124.45,265.45,96.85,337.05
312.95,401,123.15,267.5,97.15,334.2
318.55,400,126.5,265.45,97.5,336.9
320.2,410.45,126.6,263.2,97.5,338.5
